,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00001425,104-14-3,Octopamine,C8H11NO2,153.0789786,Coryphantha macromeris var. runyonii,Coryphantha,KNApSAcK
0,C00001246,3658-80-8,Dimethyl trisulfide,C2H6S3,125.96316238,Pilosocereus tweedyanus,Pilosocereus,KNApSAcK
0,C00005491,26931-68-0,3-O-Methylquercetin 7-O-beta-D-glucopyranoside,C22H22O12,478.11112617,Parodia sanguiniflora,Parodia,KNApSAcK
0,C00002689,498-02-2,3'-Methoxy-4'-hydroxyacetophenone,C9H10O3,166.06299419,Mammillaria runyonii,Mammillaria,KNApSAcK
1,C00004759,1486-67-5,Annulatin,C16H12O8,332.05321736,Mammillaria elongata,Mammillaria,KNApSAcK
2,C00008226,29424-96-2,"Naringenin 7,4'-dimethyl ether",C17H16O5,300.09977362,Mammillaria elongata,Mammillaria,KNApSAcK
3,C00027432,370-98-9,N-Methyltyramine,C9H13NO,151.09971404,Mammillaria microcarpa,Mammillaria,KNApSAcK
0,C00001022,491-67-8,Baicalein,C15H10O5,270.05282343,Austrocylindropuntia subulata,Cylindropuntia,KNApSAcK
0,C00001408,51-61-6,Dopamine,C8H11NO2,153.0789786,Myrtillocactus geometrizans,Cactus,KNApSAcK
1,C00001419,54-04-6,Mescaline,C11H17NO3,211.12084342,Myrtillocactus geometrizans,Cactus,KNApSAcK
2,C00001593,15121-53-6,Isobetanin,C24H26N2O13,550.14348893,Phyllocactus hybridus,Cactus,KNApSAcK
3,C00008226,29424-96-2,"Naringenin 7,4'-dimethyl ether",C17H16O5,300.09977362,Rhodocactus grandifolius,Cactus,KNApSAcK
4,C00035257,474-15-7,Chichipegenin,C30H50O4,474.37091008,Myrtillocactus geometrizans,Cactus,KNApSAcK
5,C00035335,2126-69-4,Macdougallin,C28H48O2,416.36543078,Myrtillocactus geometrizans,Cactus,KNApSAcK
6,C00035362,570-92-3,Peniocerol,C27H46O2,402.34978071,Myrtillocactus geometrizans,Cactus,KNApSAcK
7,C00051976,,"3,5-Dimethoxy-4-hydroxyphenethylamine",C10H15NO3,197.10519335,Myrtillocactus geometrizans,Cactus,KNApSAcK
