,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00002981,477-90-7,Bergenin,C14H16O9,328.07943211,Humiria balsamifera,Humiria,KNApSAcK
1,C00036681,64180-73-0,Acrenol,C20H28O6,364.18858863,Humirianthera ampla,Humiria,KNApSAcK
2,C00037279,278180-90-8,Humirianthol,C20H26O6,362.17293856,Humirianthera ampla,Humiria,KNApSAcK
0,C00001053,27696-41-9,Hypolaetin,C15H10O7,302.04265268,Licania pyrifolia,Licania,KNApSAcK
1,C00001222,623-99-4,alpha-Licanic acid,C18H28O3,292.20384476,Licania rigida,Licania,KNApSAcK
2,C00003683,6199-67-3,Cucurbitacin B,C32H46O8,558.31926845,Licania intrapetiolaris,Licania,KNApSAcK
3,C00003850,57096-02-3,4'-Hydroxywogonin,C16H12O6,300.06338812,Licania densiflora,Licania,KNApSAcK
4,C00011178,200353-68-0,"Myricetin 3,4'-di-O-alpha-L-rhamnopyranoside",C27H30O16,610.15338491,Licania heteromorpha,Licania,KNApSAcK
5,C00011179,230283-40-6,"Myricetin 7-methyl ether 3,4'-di-O-alpha-L-rhamnopyranoside",C28H32O16,624.16903498,Licania heteromorpha,Licania,KNApSAcK
6,C00011180,230283-36-0,Myricetin 4'-methyl ether 3-O-beta-D-galactopyranoside,C22H22O13,494.10604079,Licania heteromorpha,Licania,KNApSAcK
7,C00013964,244775-36-8,Myricetin 3-rhamnosyl-(1->2)-rhamnoside,C27H30O16,610.15338491,Licania densiflora,Licania,KNApSAcK
8,C00013983,244775-37-9,"Myricetin 3',4'-dimethyl ether 3-glucoside",C23H24O13,508.12169086,Licania densiflora,Licania,KNApSAcK
9,C00014116,244775-34-6,"5,7,8-Trihydroxy-4'-methoxyflavanone",C16H14O6,302.07903818,Licania densiflora,Licania,KNApSAcK
10,C00039622,473665-04-2,Licamichauxiioic acid A,C20H26O3,314.1881947,Licania michauxii,Licania,KNApSAcK
11,C00039623,473665-05-3,Licamichauxiioic acid B,C20H26O3,314.1881947,Licania michauxii,Licania,KNApSAcK
12,C00046030,343944-35-4,Intrapetacin A,C30H38O8,526.25666819,Licania intrapetiolaris,Licania,KNApSAcK
13,C00046031,343944-36-5,Intrapetacin B,C31H38O9,554.25158281,Licania intrapetiolaris,Licania,KNApSAcK
