,C_ID,CAS ID,example_compound_name,Molecular formula,Mw,Organism,knapsack_search_term,Source
0,C00000947,154-23-4,(+)-Catechin,C15H14O6,290.07903818,Combretum quadrangulare,Combretum,KNApSAcK
1,C00000956,490-46-0,(-)-Epicatechin,C15H14O6,290.07903818,Combretum quadrangulare,Combretum,KNApSAcK
2,C00000992,480-39-7,Dihydrochrysin,C15H12O4,256.07355887,Combretum albopunctatum Suesseng,Combretum,KNApSAcK
3,C00001062,1592-70-7,Isokaempferide,C16H12O6,300.06338812,Combretum quadrangulare,Combretum,KNApSAcK
4,C00001110,3681-93-4,Vitexin,C21H20O10,432.10564686,Combretum quadrangulare,Combretum,KNApSAcK
5,C00001345,515-25-3,(-)-Betonicine,C7H13NO3,159.08954329,Combretum micranthum,Combretum,KNApSAcK
6,C00002074,471-87-4,Stachydrine,C7H13NO2,143.09462867,Combretum micranthum,Combretum,KNApSAcK
7,C00002647,149-91-7,Gallic acid,C7H6O5,170.0215233,Combretum quadrangulare,Combretum,KNApSAcK
8,C00002886,39499-84-8,Isobatatasin I,C17H16O4,284.104859,Combretum psidioides,Combretum,KNApSAcK
9,C00003672,83-46-5,(-)-beta-Sitosterol,C29H50O,414.38616622,Combretum quadrangulare,Combretum,KNApSAcK
10,C00004569,3301-49-3,"Kaempferol 3,7-dimethyl ether",C17H14O6,314.07903818,Combretum quadrangulare,Combretum,KNApSAcK
11,C00004775,74705-43-4,"Myricetin 3,7,3',5'-tetramethyl ether",C19H18O8,374.10016755,Combretum quadrangulare,Combretum,KNApSAcK
12,C00004777,5084-19-5,Combretol,C20H20O8,388.11581762,Combretum quadrangulare,Combretum,KNApSAcK
13,C00007298,62-49-7,Choline,C5H14NO1,104.10753908,Combretum micranthum,Combretum,KNApSAcK
14,C00008143,36052-37-6,(-)-Alpinetin,C16H14O4,270.08920894,Combretum albopunctatum Suesseng,Combretum,KNApSAcK
15,C00008817,970-73-0,(+)-Gallocatechin,C15H14O7,306.0739528,Combretum quadrangulare,Combretum,KNApSAcK
16,C00008818,970-74-1,(-)-Epigallocatechin,C15H14O7,306.0739528,Combretum quadrangulare,Combretum,KNApSAcK
17,C00008866,1257-08-5,(-)-Epicatechin 3-O-gallate,C22H18O10,442.0899968,Combretum quadrangulare,Combretum,KNApSAcK
18,C00011153,476-66-4,Ellagic acid,C14H6O8,302.00626717,Combretum yunnanensis,Combretum,KNApSAcK
