,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q2649985,uri,http://www.wikidata.org/entity/Q3604508,literal,Aloe gilbertii,literal,LQGUBLBATBMXHT-UHFFFAOYSA-N,literal,CC1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)O,literal,968316-1,en,literal,chrysophanol,literal,10.1016/S0031-9422(00)94771-X,literal,481-74-3,literal,CHEMBL41092
1,uri,http://www.wikidata.org/entity/Q2649991,uri,http://www.wikidata.org/entity/Q3604508,literal,Aloe greatheadii,literal,LQGUBLBATBMXHT-UHFFFAOYSA-N,literal,CC1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)O,literal,529495-1,en,literal,chrysophanol,literal,10.1016/S0031-9422(00)94771-X,literal,481-74-3,literal,CHEMBL41092
2,uri,http://www.wikidata.org/entity/Q2649984,uri,http://www.wikidata.org/entity/Q409921,literal,Aloe gariepensis,literal,VCCAAURNBULZRR-JGVFFNPUSA-N,literal,CCC(C1CCCCN1)O,literal,529472-1,en,literal,conhydrine,literal,10.1055/S-2006-961396,literal,495-20-5,,
3,uri,http://www.wikidata.org/entity/Q2650044,uri,http://www.wikidata.org/entity/Q409921,literal,Aloe krapohliana,literal,VCCAAURNBULZRR-JGVFFNPUSA-N,literal,CCC(C1CCCCN1)O,literal,529565-1,en,literal,conhydrine,literal,10.1055/S-2006-961396,literal,495-20-5,,
4,uri,http://www.wikidata.org/entity/Q2650113,uri,http://www.wikidata.org/entity/Q3604508,literal,Aloe sinana,literal,LQGUBLBATBMXHT-UHFFFAOYSA-N,literal,CC1=CC(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)O,literal,529897-1,en,literal,chrysophanol,literal,10.1016/S0031-9422(00)94771-X,literal,481-74-3,literal,CHEMBL41092
5,uri,http://www.wikidata.org/entity/Q2650043,uri,http://www.wikidata.org/entity/Q104390170,literal,Aloe leachii,literal,OUGNWRCWQLUXHX-ACWXGELRSA-N,literal,O=C(OC1C(O)C(O)C(OC1C2=C(OC)C=C(C=3C(=O)C=C(OC32)CC(O)C)C)CO)C=CC4=CC=C(O)C=C4,literal,529583-1,en,literal,Aloeresin D,literal,10.1016/S0305-1978(00)00018-1,,,,
6,uri,http://www.wikidata.org/entity/Q2649985,uri,http://www.wikidata.org/entity/Q59297186,literal,Aloe gilbertii,literal,BXWJOXJOMFDQNV-UHFFFAOYSA-N,literal,CC1=CC(=CC2=C1C(=O)C3=C(C2=O)C=CC=C3O)O,literal,968316-1,en,literal,Aloesaponarin II,literal,10.1016/S0031-9422(00)94771-X,literal,53254-94-7,,
7,uri,http://www.wikidata.org/entity/Q2649991,uri,http://www.wikidata.org/entity/Q59297186,literal,Aloe greatheadii,literal,BXWJOXJOMFDQNV-UHFFFAOYSA-N,literal,CC1=CC(=CC2=C1C(=O)C3=C(C2=O)C=CC=C3O)O,literal,529495-1,en,literal,Aloesaponarin II,literal,10.1016/S0031-9422(00)94771-X,literal,53254-94-7,,
8,uri,http://www.wikidata.org/entity/Q2650113,uri,http://www.wikidata.org/entity/Q59297186,literal,Aloe sinana,literal,BXWJOXJOMFDQNV-UHFFFAOYSA-N,literal,CC1=CC(=CC2=C1C(=O)C3=C(C2=O)C=CC=C3O)O,literal,529897-1,en,literal,Aloesaponarin II,literal,10.1016/S0031-9422(00)94771-X,literal,53254-94-7,,
9,uri,http://www.wikidata.org/entity/Q6813640,uri,http://www.wikidata.org/entity/Q104252910,literal,Aloe wickensii,literal,RVKRJABUQLMQNO-FCURCJOESA-N,literal,O=C1C2=C(O)C=C(C=C2C(C3=CC=C(O)C(OC)=C13)C4OC(CO)C(O)C(O)C4O)C,literal,530042-1,en,literal,Homonataloin,literal,10.1055/S-2007-969784,,,,
