,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q16981337,uri,http://www.wikidata.org/entity/Q105257615,literal,Dichapetalum madagascariense,literal,SPVHFBQEUCWXSL-BWQUYTMYSA-N,literal,O=C(OC)C(CC1(OC)OCC(O)(C)C1)C2CCC34CC24CCC5C6(C)CC=C7CC(OCC7(C)C6CC(O)C53C)C=8C=CC=CC8,literal,163234-1,en,literal,Dichapetalin G,literal,10.1016/0031-9422(96)00350-0,,,,
1,uri,http://www.wikidata.org/entity/Q17565997,uri,http://www.wikidata.org/entity/Q105104278,literal,Tapura fischeri,literal,DQVGVYRSVYCJRR-HTLTWAQSSA-N,literal,O=C(OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)CCC1C=2N=C(C=C3NC(=CC=4NC(C=C5N=C6C(C(=O)C(C(=O)OC)C62)=C5C)=C(C4C)CC)C(C=C)=C3C)C1C,literal,163308-1,en,literal,"methyl 16-ethenyl-11-ethyl-12,17,21,26-tetramethyl-4-oxo-22-[3-oxo-3-[(E)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-7,23,24,25-tetrazahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1(23),2(6),5(26),7,9,11,13,15,17,19-decaene-3-carboxylate",literal,10.1016/S0031-9422(98)00428-2,,,,
2,uri,http://www.wikidata.org/entity/Q11125993,uri,http://www.wikidata.org/entity/Q104971814,literal,Dichapetalum gelonioides,literal,CXFAPKZJDHSDJC-NNLSLSRSSA-N,literal,O=C1OC(C=C(C)CO)CC1C2CCC34CC24CCC5C6(C)CC=C7CC(OCC7(C)C6CC(O)C53C)C=8C=CC=CC8,literal,163210-1,en,literal,Dichapetalin L,literal,10.1021/NP058083Q,,,,
3,uri,http://www.wikidata.org/entity/Q11125993,uri,http://www.wikidata.org/entity/Q105156159,literal,Dichapetalum gelonioides,literal,LRJFCTOUXFAGON-HAOXRHQYSA-N,literal,O=C1OC(C=C(C)CO)CC1C2CCC34CC24C=CC5C6(C)CC=C7CC(OCC7(C)C6CC(O)C53C)C=8C=CC=CC8,literal,163210-1,en,literal,"(3S,5R)-5-[(E)-3-hydroxy-2-methylprop-1-enyl]-3-[(1S,2R,3R,5R,6R,9S,14S,15R,18R,19S)-3-hydroxy-2,6,14-trimethyl-9-phenyl-8-oxahexacyclo[16.3.1.01,18.02,15.05,14.06,11]docosa-11,16-dien-19-yl]oxolan-2-one",literal,10.1021/NP058083Q,,,,
4,uri,http://www.wikidata.org/entity/Q11125993,uri,http://www.wikidata.org/entity/Q105125992,literal,Dichapetalum gelonioides,literal,JEDNEJGSAFQCKK-RBZPDDGOSA-N,literal,O=C1CCC2C3(C)CCC4(C)C5CC(C)(C)CCC5(CO)CCC4(C)C3CC(O)C2(C)C1C,literal,163210-1,en,literal,28-Hydroxyzeylanol,literal,10.1021/NP058083Q,,,,
5,uri,http://www.wikidata.org/entity/Q11125993,uri,http://www.wikidata.org/entity/Q105191636,literal,Dichapetalum gelonioides,literal,OGIKSTYGXSTZFU-XGDYXWHLSA-N,literal,O=C1OC(C=C(C)CO)CC1C2CCC34CC24C(O)CC5C6(C)CC=C7CC(OCC7(C)C6CC(O)C53C)C=8C=CC=CC8,literal,163210-1,en,literal,Dichapetalin I,literal,10.1021/NP058083Q,,,,
6,uri,http://www.wikidata.org/entity/Q17565564,uri,http://www.wikidata.org/entity/Q420215,literal,Dichapetalum stuhlmannii,literal,QEWYKACRFQMRMB-UHFFFAOYSA-N,literal,C(C(=O)O)F,literal,163266-1,en,literal,fluoroacetic acid,literal,10.1016/0031-9422(93)85020-R,literal,144-49-0,literal,CHEMBL509273
7,uri,http://www.wikidata.org/entity/Q17565597,uri,http://www.wikidata.org/entity/Q420215,literal,Dichapetalum papuanum,literal,QEWYKACRFQMRMB-UHFFFAOYSA-N,literal,C(C(=O)O)F,literal,316322-1,en,literal,fluoroacetic acid,literal,10.1016/S0031-9422(00)84704-4,literal,144-49-0,literal,CHEMBL509273
8,uri,http://www.wikidata.org/entity/Q17565611,uri,http://www.wikidata.org/entity/Q420215,literal,Dichapetalum mossambicense,literal,QEWYKACRFQMRMB-UHFFFAOYSA-N,literal,C(C(=O)O)F,literal,163239-1,en,literal,fluoroacetic acid,literal,10.1016/0031-9422(93)85020-R,literal,144-49-0,literal,CHEMBL509273
9,uri,http://www.wikidata.org/entity/Q17565620,uri,http://www.wikidata.org/entity/Q420215,literal,Dichapetalum macrocarpum,literal,QEWYKACRFQMRMB-UHFFFAOYSA-N,literal,C(C(=O)O)F,literal,316287-1,en,literal,fluoroacetic acid,literal,10.1016/0031-9422(93)85020-R,literal,144-49-0,literal,CHEMBL509273
