,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q1569921,uri,http://www.wikidata.org/entity/Q6836897,literal,Triphyophyllum peltatum,literal,GMLBVLXDRNJFGR-MOUTVQLLSA-N,literal,CC1CC2=C(C(=CC(=C2C(N1)C)O)O)C3=CC(=C(C4=C(C=C(C=C34)C)OC)O)C5=C(C6=C(C=C(C=C6C(=C5)C7=C8CC(NC(C8=C(C=C7O)O)C)C)C)OC)O,literal,317595-1,en,literal,Michellamine,literal,10.1006/ABBI.1997.0494,literal,143168-23-4,literal,CHEMBL295292
1,uri,http://www.wikidata.org/entity/Q1569921,uri,http://www.wikidata.org/entity/Q105174211,literal,Triphyophyllum peltatum,literal,MXIZZLBQRBAZEX-UHFFFAOYSA-N,literal,OC1=C(C=CC2=C1C(NC(C)C2)C)C3=C4C=CC=C(OC)C4=C(OC)C=C3C,literal,317595-1,en,literal,Dioncophyllin A,literal,10.1021/AC061526Q,literal,60142-17-8,,
2,uri,http://www.wikidata.org/entity/Q1569921,uri,http://www.wikidata.org/entity/Q105174211,literal,Triphyophyllum peltatum,literal,MXIZZLBQRBAZEX-UHFFFAOYSA-N,literal,OC1=C(C=CC2=C1C(NC(C)C2)C)C3=C4C=CC=C(OC)C4=C(OC)C=C3C,literal,317595-1,en,literal,Dioncophyllin A,literal,10.1016/S0031-9422(00)97576-9,literal,60142-17-8,,
3,uri,http://www.wikidata.org/entity/Q1569921,uri,http://www.wikidata.org/entity/Q105174211,literal,Triphyophyllum peltatum,literal,MXIZZLBQRBAZEX-UHFFFAOYSA-N,literal,OC1=C(C=CC2=C1C(NC(C)C2)C)C3=C4C=CC=C(OC)C4=C(OC)C=C3C,literal,317595-1,en,literal,Dioncophyllin A,literal,10.1055/S-2006-959852,literal,60142-17-8,,
4,uri,http://www.wikidata.org/entity/Q1569921,uri,http://www.wikidata.org/entity/Q105174211,literal,Triphyophyllum peltatum,literal,MXIZZLBQRBAZEX-UHFFFAOYSA-N,literal,OC1=C(C=CC2=C1C(NC(C)C2)C)C3=C4C=CC=C(OC)C4=C(OC)C=C3C,literal,317595-1,en,literal,Dioncophyllin A,literal,10.1016/S0031-9422(00)94457-1,literal,60142-17-8,,
5,uri,http://www.wikidata.org/entity/Q1569921,uri,http://www.wikidata.org/entity/Q105174211,literal,Triphyophyllum peltatum,literal,MXIZZLBQRBAZEX-UHFFFAOYSA-N,literal,OC1=C(C=CC2=C1C(NC(C)C2)C)C3=C4C=CC=C(OC)C4=C(OC)C=C3C,literal,317595-1,en,literal,Dioncophyllin A,literal,10.1016/S0031-9422(99)00543-9,literal,60142-17-8,,
6,uri,http://www.wikidata.org/entity/Q1569921,uri,http://www.wikidata.org/entity/Q105174211,literal,Triphyophyllum peltatum,literal,MXIZZLBQRBAZEX-UHFFFAOYSA-N,literal,OC1=C(C=CC2=C1C(NC(C)C2)C)C3=C4C=CC=C(OC)C4=C(OC)C=C3C,literal,317595-1,en,literal,Dioncophyllin A,literal,10.1055/S-2006-957970,literal,60142-17-8,,
7,uri,http://www.wikidata.org/entity/Q1569921,uri,http://www.wikidata.org/entity/Q105174211,literal,Triphyophyllum peltatum,literal,MXIZZLBQRBAZEX-UHFFFAOYSA-N,literal,OC1=C(C=CC2=C1C(NC(C)C2)C)C3=C4C=CC=C(OC)C4=C(OC)C=C3C,literal,317595-1,en,literal,Dioncophyllin A,literal,10.1055/S-2006-961726,literal,60142-17-8,,
8,uri,http://www.wikidata.org/entity/Q146105,uri,http://www.wikidata.org/entity/Q27114671,literal,Dioncophyllum thollonii,literal,YUPNHTWYVBHLMG-KSBSHMNSSA-N,literal,CC1CC(=O)C2=C(C1O)C=CC=C2O,literal,111557-1,en,literal,Isoshinanolone,literal,10.1016/S0031-9422(00)00386-1,,,literal,CHEMBL2023569
9,uri,http://www.wikidata.org/entity/Q146105,uri,http://www.wikidata.org/entity/Q27114671,literal,Dioncophyllum thollonii,literal,YUPNHTWYVBHLMG-KSBSHMNSSA-N,literal,CC1CC(=O)C2=C(C1O)C=CC=C2O,literal,111557-1,en,literal,Isoshinanolone,literal,10.1016/S0031-9422(99)00080-1,,,literal,CHEMBL2023569
