,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q164181,uri,http://www.wikidata.org/entity/Q418834,literal,Hydrilla verticillata,literal,ATHGHQPFGPMSJY-UHFFFAOYSA-N,literal,C(CCNCCCN)CN,literal,1072415-2,en,literal,spermidine,literal,10.1139/B97-175,literal,124-20-9,literal,CHEMBL19612
1,uri,http://www.wikidata.org/entity/Q7179196,uri,http://www.wikidata.org/entity/Q105156307,literal,Thalassia hemprichii,literal,LRTHDKCJFOCZMF-CMJHJVOZSA-N,literal,O=C1C=C(OC2=C(O)C(OC3OCC(O)C(O)C3O)=CC(O)=C12)C=4C=CC(O)=CC4,literal,431946-1,en,literal,"5,8-dihydroxy-2-(4-hydroxyphenyl)-7-[(2S,3S,4R,5S)-3,4,5-trihydroxyoxan-2-yl]oxychromen-4-one",literal,10.1007/S10600-014-1040-7,,,,
2,uri,http://www.wikidata.org/entity/Q5643434,uri,http://www.wikidata.org/entity/Q105194521,literal,Halophila johnsonii,literal,OMUXABLHPWOGOA-GXMPSOMJSA-N,literal,O=C(OCC1OC(OC2=CC=3OC(=CC(=O)C3C(O)=C2O)C=4C=CC(O)=CC4)C(O)C(O)C1O)C=CC5=CC=C(O)C=C5,literal,431752-1,en,literal,"4',5,6-Trihydroxy-7-[6-O-[(E)-4-hydroxycinnamoyl]-beta-D-glucopyranosyloxy]flavone",literal,10.1016/J.PHYTOCHEM.2008.07.007,,,,
3,uri,http://www.wikidata.org/entity/Q162030,uri,http://www.wikidata.org/entity/Q416446,literal,Stratiotes aloides,literal,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,literal,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,literal,431936-1,en,literal,arbutin,literal,10.1021/NP800769G,literal,497-76-7,literal,CHEMBL232202
4,uri,http://www.wikidata.org/entity/Q162030,uri,http://www.wikidata.org/entity/Q105211130,literal,Stratiotes aloides,literal,PLQBKZOSLQNLOX-GOZZSVHWSA-N,literal,O=C(O)CC(=O)OCC1OC(OC2=CC(O)=C3C(=O)C=C(OC3=C2)C=4C=CC(O)=C(OC)C4)C(O)C(O)C1O,literal,431936-1,en,literal,Chrysoeriol 7-O-(6''-malonyl-glucoside),literal,10.1021/NP800769G,,,,
5,uri,http://www.wikidata.org/entity/Q164181,uri,http://www.wikidata.org/entity/Q181003,literal,Hydrilla verticillata,literal,QIVBCDIJIAJPQS-VIFPVBQESA-N,literal,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,literal,1072415-2,en,literal,tryptophan,literal,10.1016/0305-1978(86)90092-X,literal,73-22-3,literal,CHEMBL54976
6,uri,http://www.wikidata.org/entity/Q162030,uri,http://www.wikidata.org/entity/Q483745,literal,Stratiotes aloides,literal,ROHFNLRQFUQHCH-YFKPBYRVSA-N,literal,CC(C)CC(C(=O)O)N,literal,431936-1,en,literal,L-leucine,literal,10.1021/NP800769G,literal,61-90-5,literal,CHEMBL291962
7,uri,http://www.wikidata.org/entity/Q162030,uri,http://www.wikidata.org/entity/Q27104226,literal,Stratiotes aloides,literal,GTZCVFVGUGFEME-IWQZZHSRSA-N,literal,C(C(=CC(=O)O)C(=O)O)C(=O)O,literal,431936-1,en,literal,(Z)-aconitic acid,literal,10.1021/NP800769G,literal,585-84-2,literal,CHEMBL347285
8,uri,http://www.wikidata.org/entity/Q5643434,uri,http://www.wikidata.org/entity/Q951449,literal,Halophila johnsonii,literal,IKMDFBPHZNJCSN-UHFFFAOYSA-N,literal,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,literal,431752-1,en,literal,myricetin,literal,10.1016/J.PHYTOCHEM.2008.07.007,literal,529-44-2,literal,CHEMBL164
9,uri,http://www.wikidata.org/entity/Q164181,uri,http://www.wikidata.org/entity/Q173670,literal,Hydrilla verticillata,literal,ODKSFYDXXFIFQN-BYPYZUCNSA-N,literal,C(CC(C(=O)O)N)CN=C(N)N,literal,1072415-2,en,literal,L-arginine,literal,10.1016/0305-1978(86)90092-X,literal,74-79-3,literal,CHEMBL1485
