,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
0,uri,http://www.wikidata.org/entity/Q3658986,uri,http://www.wikidata.org/entity/Q72493976,literal,Smilax glabra,literal,ZROGCCBNZBKLEL-UHFFFAOYSA-N,literal,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(O)C(O)=C3)C1OC4OC(C)C(O)C(O)C4O,literal,541462-1,en,literal,Neoisoastilbin,literal,10.1016/J.PHYTOCHEM.2003.10.020,literal,54141-72-9,,
1,uri,http://www.wikidata.org/entity/Q3205923,uri,http://www.wikidata.org/entity/Q60998680,literal,Smilax bracteata,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,541320-1,en,literal,EZ-resveratrol,literal,10.1248/CPB.56.1324,,,,
2,uri,http://www.wikidata.org/entity/Q3205923,uri,http://www.wikidata.org/entity/Q60998680,literal,Smilax bracteata,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,541320-1,en,literal,EZ-resveratrol,literal,10.1016/J.PHYTOCHEM.2008.01.002,,,,
3,uri,http://www.wikidata.org/entity/Q3205923,uri,http://www.wikidata.org/entity/Q6823935,literal,Smilax bracteata,literal,OCNYGKNIVPVPPX-HWKANZROSA-N,literal,COC(=O)C=CC1=CC(=C(C=C1)O)O,literal,541320-1,en,literal,caffeic acid methyl ester,literal,10.1021/NP010338M,literal,67667-67-8,literal,CHEMBL17001
4,uri,http://www.wikidata.org/entity/Q3658986,uri,http://www.wikidata.org/entity/Q7545714,literal,Smilax glabra,literal,HBHVCPGEAYWNOG-DIKDMFKNSA-N,literal,CC1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=CC(=C4)O)O)O)O)O,literal,541462-1,en,literal,smitilbin,literal,10.1055/S-1999-13963,literal,222846-33-5,,
5,uri,http://www.wikidata.org/entity/Q3205923,uri,http://www.wikidata.org/entity/Q7190608,literal,Smilax bracteata,literal,CDRPUGZCRXZLFL-OWOJBTEDSA-N,literal,C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,literal,541320-1,en,literal,piceatannol,literal,10.1016/J.PHYTOCHEM.2008.01.002,literal,10083-24-6,literal,CHEMBL69863
6,uri,http://www.wikidata.org/entity/Q3658986,uri,http://www.wikidata.org/entity/Q63409374,literal,Smilax glabra,literal,KZJWDPNRJALLNS-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(CC)C(C)C)C2(C)CC1,literal,541462-1,en,literal,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",literal,10.1016/J.PHYTOCHEM.2006.10.026,,,,
7,uri,http://www.wikidata.org/entity/Q3658986,uri,http://www.wikidata.org/entity/Q60998680,literal,Smilax glabra,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,541462-1,en,literal,EZ-resveratrol,literal,10.1248/CPB.56.1324,,,,
8,uri,http://www.wikidata.org/entity/Q3658986,uri,http://www.wikidata.org/entity/Q60998680,literal,Smilax glabra,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,541462-1,en,literal,EZ-resveratrol,literal,10.1016/J.PHYTOCHEM.2008.01.002,,,,
9,uri,http://www.wikidata.org/entity/Q3658986,uri,http://www.wikidata.org/entity/Q60998680,literal,Smilax glabra,literal,LUKBXSAWLPMMSZ-UHFFFAOYSA-N,literal,[H]C(=C([H])c1cc(O)cc(O)c1)c1ccc(O)cc1,literal,541462-1,en,literal,EZ-resveratrol,literal,10.1055/S-1999-13963,,,,
